CHOPER,CHFLTN,CHOPERD,CHSTOL,CHPTOL,CHAORD,CHLOC1,CHLOC1D,CHLOC1TH,CHLOC1T,CHLOC1CH,CHLOCCT,CHTERM,CHCINT,CHCKZN,CHRMINE,CHRMINH
LH,683,LUFTHANSA,2024-07-11T07:00:00,2024-07-11T07:00:00,D,MUC,MUNICH,מינכן,MUNICH,גרמניה,GERMANY,3,,,ON TIME,בזמן
LY,010,EL AL ISRAEL AIRLINES,2024-07-11T07:00:00,2024-07-11T07:00:00,A,JFK,NEW YORK - J.F.KENNEDY,ניו יורק,NEW YORK,ארצות הברית,UNITED STATES,3,,,NOT FINAL,לא סופי
LY,018,EL AL ISRAEL AIRLINES,2024-07-11T07:00:00,2024-07-11T07:00:00,A,MIA,MIAMI INTERNATIONAL,מיאמי,MIAMI,ארצות הברית,UNITED STATES,3,,,NOT FINAL,לא סופי
LY,5135,EL AL ISRAEL AIRLINES,2024-07-11T07:00:00,2024-07-11T07:00:00,D,PFO,PAPHOS,פאפוס,PAPHOS,קפריסין,CYPRUS,1,,,ON TIME,בזמן
SN,7166,BRUSSELS AIRLINES,2024-07-11T07:00:00,2024-07-11T07:00:00,D,MUC,MUNICH,מינכן,MUNICH,גרמניה,GERMANY,3,,,ON TIME,בזמן
UA,9470,UNITED AIRLINES,2024-07-11T07:00:00,2024-07-11T07:00:00,D,MUC,MUNICH,מינכן,MUNICH,גרמניה,GERMANY,3,,,ON TIME,בזמן
6H,571,ISRAIR AIRLINES,2024-07-11T07:00:00,2024-07-11T07:00:00,D,SKG,THESSALONIKI,סלוניקי,THESSALONIKI,יוון,GREECE,1,,,ON TIME,בזמן
LY,541,EL AL ISRAEL AIRLINES,2024-07-11T07:10:00,2024-07-11T07:10:00,D,ATH,ATHENS,אתונה,ATHENS,יוון,GREECE,3,,,ON TIME,בזמן
LY,573,EL AL ISRAEL AIRLINES,2024-07-11T07:10:00,2024-07-11T07:10:00,D,OTP,BUCHAREST - OTOPENI,בוקרשט,BUCHAREST,רומניה,ROMANIA,3,,,ON TIME,בזמן
XR,471,CORENDON EUROPE,2024-07-11T07:10:00,2024-07-11T07:10:00,D,HER,HERAKLION,הרקליון,HERAKLION,יוון,GREECE,3,,,ON TIME,בזמן
